title,artist,tempo,energy,danceability,loudness,valence
Why Tell Me Why,Anita Meyer,112,77,65,-6,38
Wonderful Days,Charly Lownoise,174,92,55,-11,11
Dat Komt Door Jou,Guus Meeuwis,134,53,59,-10,31
Don't Give up the Fight,Racoon,91,30,28,-13,26
I Follow Rivers - Live @ Giel!,Triggerfinger,110,41,67,-9,71
Liverpool Rain,Racoon,183,50,45,-7,21
No Mercy,Racoon,104,57,77,-6,61
Peter Gunn Theme,"Emerson, Lake & Palmer",131,83,43,-7,71
Alors on danse,Stromae,120,59,79,-9,73
The Eve of the War,Jeff Wayne,127,59,40,-9,37
A Night Like This,Caro Emerald,123,71,87,-6,96
Verdammt ich lieb dich - Remastered,Matthias Reim,100,80,59,-7,32
Christmas Lights,Coldplay,131,42,31,-9,24
The Promise You Made,Cock Robin,117,41,71,-14,65
Back Home,Golden Earring,123,84,47,-6,74
Times Are Changing,DI-RECT,123,81,50,-6,28
Proosten,Guus Meeuwis,136,65,64,-6,76
Need You Now,Lady Antebellum,108,72,58,-4,32
Man Down,Rihanna,156,91,48,-4,54
Pyro,Kings of Leon,115,61,37,-7,19
You Got It,Roy Orbison,115,59,66,-12,67
Atmosphere - 2010 Remaster,Joy Division,120,39,62,-12,44
Have You Ever Been Mellow,Party Animals,172,96,60,-4,57
Back Down South,Kings of Leon,117,62,48,-7,15
Riverside,Agnes Obel,99,19,65,-14,23
Hold On Tight,Solomon Burke,89,73,63,-6,50
Rainbow In The Sky - K & A's Radio Blast,DJ Paul Elstak,168,94,48,-7,26
Levels,Avicii,126,83,60,-7,35
Somebody That I Used To Know,Gotye,129,50,86,-7,72
Rood,Marco Borsato,138,78,48,-8,18
A Boy Named Sue (Live),Johnny Cash,105,46,52,-16,89
Still Loving You,Scorpions,104,61,28,-5,8
Little Black Submarines,The Black Keys,95,47,37,-8,49
Walk,Foo Fighters,138,87,23,-5,19
The A Team,Ed Sheeran,85,29,64,-10,41
kom terug,Spinvis,97,73,50,-6,24
Prachtig mooie dag,Daniël Lohues,103,69,55,-4,56
lippy kids,Elbow,155,20,42,-15,10
Faster,Within Temptation,120,93,51,-3,48
Lonely Boy,The Black Keys,166,87,36,-8,61
Turning Tables,Adele,80,45,31,-6,21
Luv U More - K&A's Radio blast,DJ Paul,168,82,51,-11,7
Kan Ik Iets Voor Je Doen,De Dijk,79,73,50,-6,45
Driver's Seat,Sniff 'n' The Tears,133,80,74,-8,98
Zing Voor Me,Lange Frans,82,52,43,-9,56
Every Teardrop Is a Waterfall,Coldplay,118,73,43,-7,31
Waarom Nou Jij,Marco Borsato,140,51,44,-8,25
Mijn Vlakke Land,Jacques Brel,79,33,40,-11,46
Rumour Has It,Adele,120,75,62,-5,56
Keep Your Head Up,Ben Howard,79,60,51,-9,40
Pumped Up Kicks,Foster The People,128,71,73,-6,97
Happiness,Jonathan Jeremiah,89,57,53,-10,49
Give Me Love,Ed Sheeran,116,33,53,-10,11
Gold on the Ceiling,The Black Keys,130,83,51,-5,56
Ni**as In Paris,JAY-Z,140,86,79,-6,77
I Won' T Let You Down,Road Band,106,35,64,-14,59
Lego House,Ed Sheeran,160,64,59,-8,56
Skinny Love,Birdy,166,29,38,-8,17
Dust Bowl,Joe Bonamassa,86,75,52,-7,70
Damn Those Eyes,Kane,172,76,34,-7,33
Original Sin,INXS,132,63,69,-7,74
Terug Naar De Kust,Maggie MacNeal,117,45,49,-9,40
Georgia on My Mind,Ray Charles,131,32,29,-8,20
Charlie Brown,Coldplay,138,74,43,-7,9
I've Just Lost Somebody,Golden Earring,88,40,37,-13,27
Skyfall - Full Length,Adele,76,55,35,-7,8
Zo Stil,BLØF,170,69,57,-7,78
Holiday In Spain,Counting Crows,126,32,65,-11,28
Radioactive,Imagine Dragons,136,78,45,-4,24
Video Games - Remastered,Lana Del Rey,122,26,39,-10,18
Demons,Imagine Dragons,90,71,51,-3,43
She,Elvis Costello,131,28,33,-13,28
I Will Wait,Mumford & Sons,131,76,48,-5,45
Home Again,Kensington,142,75,50,-6,30
Tubular Bells,Mike Oldfield,149,20,28,-17,16
Winter,Tori Amos,78,20,24,-14,27
Droomland,Andre Hazes,100,47,32,-7,25
Wat Zou Je Doen?,BLØF,184,51,35,-8,22
Madness,Muse,180,42,50,-8,22
Sovereign Light Café,Keane,123,73,54,-6,51
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,146,92,64,-4,85
Lover of the Light,Mumford & Sons,107,69,30,-7,37
San Quentin,Johnny Cash,84,40,70,-14,82
On Top Of The World,Imagine Dragons,100,93,64,-6,76
Flappie,Youp van 't Hek,131,24,75,-13,67
If You Could See Me Now,The Script,100,76,51,-7,35
Dodenrit,Drs. P,148,60,51,-14,96
When I Was Your Man,Bruno Mars,73,28,61,-9,39
I Won't Give Up,Jason Mraz,137,30,59,-10,14
Slapeloze Nachten,The Opposites,112,65,81,-7,81
One Moment in Time,Whitney Houston,155,54,27,-7,33
Zaterdag,BLØF,141,71,75,-10,90
Babel,Mumford & Sons,80,81,37,-6,65
Hopeless Wanderer,Mumford & Sons,154,58,27,-8,20
Follow the Sun,Xavier Rudd,124,39,61,-11,22
Later Als Ik Groter Ben,BLØF,130,73,53,-5,57
Stay - Album Version (Edited),Rihanna,112,31,62,-10,13
It's Time,Imagine Dragons,105,88,66,-5,86
Little Talks,Of Monsters and Men,103,76,45,-5,42
Euphoria,Loreen,132,68,52,-5,11
Oceaan,Racoon,126,34,47,-8,24
Lola Montez,Volbeat,152,88,51,-5,68
Formidable,Stromae,71,63,51,-9,50
Do I Wanna Know?,Arctic Monkeys,85,53,55,-8,41
Another Love,Tom Odell,123,54,45,-9,13
I See Fire,Ed Sheeran,76,5,63,-21,20
This Is What It Feels Like,Armin van Buuren,130,83,55,-5,14
Dansen Op De Vulkaan,De Dijk,151,95,58,-4,78
Witch Doctor,De Staat,145,56,60,-7,33
Papaoutai,Stromae,116,81,73,-7,25
Strong,London Grammar,78,40,57,-11,30
Layla,Derek & The Dominos,114,93,41,-5,39
Waves,Mr. Probz,174,28,36,-12,20
All I Want,Kodaline,86,41,21,-10,16
Addicted To You,Avicii,128,79,57,-4,30
Just Say Yes,Snow Patrol,108,88,54,-5,25
Watermensen,3JS,144,40,56,-8,46
Sky and Sand,Paul Kalkbrenner,127,33,79,-13,53
The Monster,Eminem,110,85,78,-4,62
Mirrors,Justin Timberlake,77,51,57,-7,51
Royals,Lorde,85,43,67,-10,34
tous les mêmes,Stromae,110,64,70,-9,65
Mijn Van Straat Geredde Roos,De Dijk,81,76,50,-5,61
Love You Like I Love Myself,Herman Brood & His Wild Romance,148,84,52,-7,86
I Sat By The Ocean,Queens of the Stone Age,117,78,52,-4,90
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,108,87,74,-3,59
A Ton of Love,Editors,142,96,46,-4,40
Grow Old with Me,Tom Odell,146,58,47,-7,37
Things We Lost In The Fire,Bastille,134,92,59,-5,63
The Road To Mandalay,Robbie Williams,99,68,62,-8,53
Iron Sky,Paolo Nutini,140,63,39,-7,32
Rolling In The Deep,Adele,105,76,73,-5,54
Streets,Kensington,168,77,38,-6,42
Take Me to Church,Hozier,129,66,57,-5,44
Une belle histoire,Michel Fugain,83,58,27,-9,65
In Your Arms,Chef'Special,93,41,67,-12,36
Born Slippy (Nuxx),Underworld,140,95,58,-9,30
War,Kensington,126,81,64,-6,72
Op 't platteland,Daniël Lohues,80,37,56,-10,28
Calm After The Storm,The Common Linnets,116,39,69,-11,38
Riddles,Kensington,148,70,49,-8,62
Under The Pressure,The War On Drugs,134,71,33,-7,19
Magic,Coldplay,93,48,74,-9,36
Photograph,Ed Sheeran,108,38,61,-10,20
All For Nothing,Kensington,152,86,46,-6,37
My Silver Lining,First Aid Kit,102,73,48,-5,43
Zandloper,Typhoon,135,72,76,-8,51
Red Eyes,The War On Drugs,162,82,46,-6,47
L'amour Toujours (Small Mix),Gigi D'Agostino,139,88,64,-4,74
"See Me, Feel Me - Single Version",The Who,94,34,38,-11,8
Hemel Valt,Typhoon,97,74,66,-7,74
Glycerine,Bush,114,34,44,-11,8
Wit Licht,Jeroen van Koningsbrugge,146,69,59,-7,19
Yellow Submarine,The Beatles,111,64,62,-7,65
California Love,2Pac,92,88,66,-3,77
Superheroes,The Script,167,89,49,-4,64
Looking Too Closely,Fink,175,52,48,-12,10
No Good in Goodbye,The Script,156,87,37,-5,22
Counting Stars,OneRepublic,122,71,66,-5,48
Time After Time,Cyndi Lauper,130,44,72,-9,32
Sexy Als Ik Dans,Nielson,94,54,79,-7,89
Done With It,Kensington,116,78,65,-7,63
Shut Up and Dance,WALK THE MOON,128,87,58,-4,62
Nothing Really Matters,Mr. Probz,135,23,40,-9,28
Promises of No Man's Land,Blaudzun,124,85,62,-6,64
Let It Go,James Bay,147,31,55,-10,25
The Sound of Silence,Disturbed,86,28,32,-9,18
Het Dorp - Live,Wim Sonneveld,114,44,37,-15,45
Psycho,Muse,125,88,56,-3,51
Élan,Nightwish,128,58,57,-9,30
Dat Ik Je Mis,Maaike Ouboter,174,13,50,-13,28
Heading Up High,Armin van Buuren,128,93,52,-5,20
Zeg Maar Niets Meer - Remastered,Andre Hazes,95,79,36,-8,30
Birds,Anouk,85,41,17,-8,9
Michel,Anouk,122,39,58,-8,16
Let It Happen,Tame Impala,125,88,60,-6,58
Everglow,Coldplay,146,45,54,-9,14
The Less I Know The Better,Tame Impala,117,74,64,-4,79
Ordinary Love,U2,121,48,66,-9,35
Stressed Out,Twenty One Pilots,170,64,73,-6,65
For Bitter Or Worse,Anouk,83,41,27,-8,32
All I Need - Edit,Air,95,42,50,-12,22
Hymn for the Weekend,Coldplay,90,74,49,-5,36
Adventure of a Lifetime,Coldplay,112,92,64,-4,53
Three Days In A Row,Anouk,171,50,36,-6,39
Moondance,Van Morrison,135,33,65,-11,52
R U Kiddin' Me,Anouk,89,82,53,-6,69
"Theme From New York, New York",Frank Sinatra,109,59,41,-5,56
Hold Me,Douwe Bob,161,38,35,-8,36
Budapest,George Ezra,128,46,72,-8,39
Shoes of Lightning,Racoon,78,40,54,-8,17
Tennessee Whiskey,Chris Stapleton,49,37,39,-11,51
"Oxygene, Pt. 4",Jean-Michel Jarre,189,76,43,-8,66
A Head Full of Dreams,Coldplay,123,92,45,-5,8
We Come 1 - Radio Edit,Faithless,136,90,65,-11,61
Forever Man - 2015 Remaster,Eric Clapton,111,90,64,-6,78
Down Man,Brainbox,168,76,43,-9,51
Liquid Spirit - Claptone Remix,Gregory Porter,121,62,88,-9,30
Living Doll - 2003 Remaster,Cliff Richard & The Drifters,127,47,76,-7,77
Ocean of Night,Editors,106,67,57,-10,25
Be the One,Dua Lipa,87,65,66,-4,37
Up&Up,Coldplay,164,72,48,-5,25
Ship To Wreck,Florence + The Machine,142,92,56,-4,59
Happy Xmas (War Is Over),John Lennon,147,68,40,-6,60
Cold Little Heart,Michael Kiwanuka,108,40,49,-8,15
Barcelona,Freddie Mercury,170,46,18,-9,13
Leef,André Hazes Jr.,121,73,67,-7,78
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,116,50,58,-7,11
Treur Niet (Ode Aan Het Leven),Diggy Dex,98,72,68,-9,57
Do I Ever,Kensington,163,79,39,-6,34
Whatever You Want,Status Quo,123,55,55,-11,42
Lazarus,David Bowie,130,70,66,-7,51
Dark Necessities,Red Hot Chili Peppers,92,74,70,-7,20
You Want It Darker,Leonard Cohen,109,33,67,-17,49
Bridges,Kensington,150,83,38,-7,45
Once Upon a Time in the West - Main Theme,Ennio Morricone,90,21,12,-11,5
Mooi,Marco Borsato,150,43,49,-8,31
I Just Can't Help Believin',Elvis Presley,142,66,46,-8,34
Love & Hate,Michael Kiwanuka,170,49,28,-8,53
New Gold Dream (81/82/83/84),Simple Minds,123,75,59,-11,66
Disco Inferno,The Trammps,130,70,68,-9,81
Someone Somewhere (In Summertime),Simple Minds,100,53,56,-11,67
Blackstar,David Bowie,98,55,37,-8,11
The Life I Live,Q'65,131,46,60,-12,80
We All Stand Together - Remastered 2016,Paul McCartney,72,26,35,-12,48
Heathens,Twenty One Pilots,90,40,73,-9,55
Jacob’s Song,Douwe Bob,74,51,36,-8,15
Way Down We Go,KALEO,163,51,49,-8,34
Forbidden Colours,Ryuichi Sakamoto,105,24,61,-17,37
The Book Of Love,Gavin James,108,7,52,-14,27
Zoutelande - feat. Geike,BLØF,129,64,67,-7,89
Pokémon Theme-New Studio Recording,Jason Paige,145,91,57,-5,40
Thriller,Michael Jackson,118,89,76,-4,72
Boulevard of Broken Dreams,Green Day,167,68,50,-4,47
Believer,Imagine Dragons,125,78,78,-4,67
Het het nog nooit zo donker west,Ede Staal,98,21,61,-20,42
Castle on the Hill,Ed Sheeran,135,83,46,-5,47
In the Blood,John Mayer,80,66,55,-7,52
Nao ’t Zuuje,Lex Uiting,190,53,26,-6,45
"Roll Over Lay Down - Live At The Kursaal, Southend / 1975",Status Quo,132,69,34,-9,21
Whatever It Takes,Imagine Dragons,135,66,67,-5,56
Amigo,Chef'Special,145,91,55,-5,64
Iederene Hef Een Reden,Bökkers,108,61,57,-9,69
Everything Now,Arcade Fire,116,87,55,-5,61
One More Light,Linkin Park,84,20,59,-11,17
Through the Barricades - Remastered,Spandau Ballet,146,28,49,-14,17
Freedom! '90 - Remastered,George Michael,92,85,68,-11,93
Thunder,Imagine Dragons,168,82,61,-5,29
Thinking Of A Place,The War On Drugs,103,63,48,-7,16
Galway Girl,Ed Sheeran,100,88,62,-3,78
Sunny Days,Armin van Buuren,115,71,63,-7,24
Supermarket Flowers,Ed Sheeran,90,24,59,-11,26
Holiday,Green Day,147,89,55,-3,72
Max,Paolo Conte,125,40,50,-9,15
Rapper's Delight,The Sugarhill Gang,112,75,91,-10,83
Pain,The War On Drugs,116,83,52,-4,48
Love On The Rocks,Neil Diamond,103,31,40,-8,31
Tuesday Afternoon (Forever Afternoon),The Moody Blues,114,32,50,-13,30
Magnificent (She Says),Elbow,92,87,51,-7,39
Nicotine,Chef'Special,90,30,64,-10,44
Homesick,Dua Lipa,86,22,43,-9,40
Beautiful Trauma,P!nk,96,62,41,-6,23
World Gone Mad,Bastille,140,68,51,-3,36
Leave a Light On,Tom Walker,69,62,59,-6,27
Skin,Rag'n'Bone Man,171,75,56,-8,35
Lost on You,LP,174,72,43,-6,69
Shallow,Lady Gaga,96,39,57,-6,32
Kleine Jongen,Andre Hazes,91,70,54,-6,56
Duurt Te Lang,Davina Michelle,174,44,64,-14,15
I Want To Break Free,Queen,109,41,81,-9,50
September,"Earth, Wind & Fire",126,83,69,-7,98
Voor Haar,Frans Halsema,82,36,28,-12,36
Testament,Boudewijn de Groot,122,40,43,-10,63
Atemlos durch die Nacht,Helene Fischer,128,78,81,-4,82
Zij Gelooft In Mij,Andre Hazes,152,60,32,-6,18
Verdronken Vlinder,Boudewijn de Groot,128,54,33,-9,82
Als Het Avond Is,Suzan & Freek,105,47,72,-7,45
De Vlieger,Andre Hazes,105,66,40,-7,39
Natural,Imagine Dragons,100,61,70,-6,22
IJskoud,Nielson,98,73,67,-7,15
Welterusten Mijnheer De President,Boudewijn de Groot,131,41,55,-11,86
Jimmy,Boudewijn de Groot,111,74,66,-10,89
Sammy,Ramses Shaffy,81,49,50,-8,76
High Hopes,Panic! At The Disco,82,90,58,-3,68
Het Land Van Maas En Waal,Boudewijn de Groot,126,60,73,-10,96
Shotgun,George Ezra,116,74,67,-5,75
New Light,John Mayer,124,69,83,-8,85
You Say,Lauren Daigle,148,63,49,-7,8
Een Beetje Verliefd,Andre Hazes,198,61,30,-7,33
Banger Hart - Radio Mix,Rob De Nijs,124,89,77,-9,97
Malle Babbe,Rob De Nijs,87,38,35,-10,53
Vluchten Kan Niet Meer,Frans Halsema,87,25,41,-13,32
Faded,Alan Walker,180,63,47,-5,16
High On Life (feat. Bonn),Martin Garrix,128,49,41,-6,37
Het Is Koud Zonder Jou,Andre Hazes,197,64,18,-7,52
N Vriend,Andre Hazes,68,58,23,-7,49
Always Remember Us This Way,Lady Gaga,130,50,55,-6,30
Een Meisje Van Zestien,Boudewijn de Groot,140,49,57,-11,73
Why Don't You Do Right,Beth Hart,106,74,63,-8,67
De Zon Op,Diggy Dex,100,57,74,-8,57
Youngblood,5 Seconds of Summer,120,85,60,-5,15
Prikkebeen,Boudewijn de Groot,109,52,57,-11,33
Outlaw In 'Em,Waylon,87,93,50,-3,68
Als De Rook Om Je Hoofd Is Verdwenen,Boudewijn de Groot,132,71,42,-11,64
Skandal im Sperrbezirk,Spider Murphy Gang,93,84,64,-8,89
Pain and Misery,The Teskey Brothers,89,34,71,-7,49
I Do,Douwe Bob,73,25,49,-11,27
Het Laatste Rondje - Remastered,Andre Hazes,103,76,53,-7,84
Guiding Light,Mumford & Sons,100,71,55,-8,30
Hou Vol Hou Vast,BLØF,86,61,51,-5,23
Lay Your Weapons Down,Ilse DeLange,94,68,54,-9,47
Roller Coaster,Danny Vera,97,38,40,-10,28
Arcade,Duncan Laurence,72,33,45,-13,27
A Whiter Shade of Pale - Original Single Version,Procol Harum,150,66,25,-7,44
Don't You (Forget About Me),Simple Minds,111,75,67,-9,69
The Load-Out - Remastered,Jackson Browne,106,32,52,-12,31
Stay - Remastered,Jackson Browne,107,77,60,-8,72
Last Christmas,Wham!,108,58,74,-9,94
Time To Give,White Lies,120,83,43,-6,35
bad guy,Billie Eilish,135,43,70,-11,56
Love Like Blood,Killing Joke,124,76,40,-8,49
Reünie,Snelle,96,35,51,-9,51
About A Girl - Live Version,Nirvana,121,76,61,-9,63
DEUTSCHLAND,Rammstein,120,90,52,-5,24
Phantom Of The Opera,Floor Jansen,132,87,47,-6,27
Dance Monkey,Tones and I,98,59,82,-6,51
Blauwe Dag,Suzan & Freek,98,56,70,-7,51
Homburg - Single Version - 2009 Remaster - Mono,Procol Harum,142,66,36,-8,38
Uncharted,Kensington,139,53,59,-7,23
Despacito,Luis Fonsi,178,80,66,-5,84
Dancing On My Own,Calum Scott,113,17,68,-9,24
Child in Time,Deep Purple,127,46,34,-11,35
Let It Be - Remastered 2009,The Beatles,143,40,44,-8,41
Bridge Over Troubled Water,Simon & Garfunkel,80,21,15,-14,26
Paranoid - 2016 Remaster,Black Sabbath,163,66,42,-12,45
Have You Ever Seen The Rain,Creedence Clearwater Revival,116,47,74,-13,89
Your Song,Elton John,128,32,55,-11,33
The Boxer,Simon & Garfunkel,93,49,44,-14,63
Du,Peter Maffay,94,45,49,-12,46
I Walk the Line,Johnny Cash,99,26,71,-15,56
Samba Pa Ti,Santana,92,36,41,-13,27
Immigrant Song - Remaster,Led Zeppelin,113,93,56,-10,62
Who'll Stop The Rain,Creedence Clearwater Revival,124,80,60,-7,62
Our House,"Crosby, Stills, Nash & Young",140,21,59,-15,38
Teach Your Children,"Crosby, Stills, Nash & Young",155,28,50,-15,67
The Long And Winding Road - Remastered 2009,The Beatles,132,33,30,-10,39
Father And Son,Yusuf / Cat Stevens,136,33,50,-11,40
Almost Cut My Hair,"Crosby, Stills, Nash & Young",137,47,47,-10,57
El Condor Pasa (If I Could),Simon & Garfunkel,148,21,33,-18,28
Question,The Moody Blues,76,66,22,-10,32
I Heard It Through The Grapevine,Creedence Clearwater Revival,119,84,63,-6,88
Since I've Been Loving You - 1990 Remaster,Led Zeppelin,119,36,39,-11,31
Get Back - Remastered 2009,The Beatles,123,59,76,-10,33
The Man Who Sold the World - 2015 Remaster,David Bowie,118,39,47,-14,55
Long As I Can See The Light,Creedence Clearwater Revival,127,41,71,-7,53
Roadhouse Blues,The Doors,121,63,61,-8,90
My Sweet Lord,George Harrison,121,70,54,-9,58
Cecilia,Simon & Garfunkel,103,88,76,-9,95
Fire and Rain,James Taylor,76,35,61,-14,36
Lookin' Out My Back Door,Creedence Clearwater Revival,105,66,75,-6,86
25 or 6 to 4 - 2002 Remaster,Chicago,147,91,60,-7,72
Working Class Hero - Remastered 2010 / Lennon Legend Version,John Lennon,159,17,48,-19,19
Lucky Man - 2012 Remastered Version,"Emerson, Lake & Palmer",154,38,35,-16,48
Into the Mystic - 2013 Remaster,Van Morrison,86,52,61,-10,80
Carry On,"Crosby, Stills, Nash & Young",119,50,46,-12,53
(They Long To Be) Close To You,Carpenters,89,25,53,-15,24
Move On Up,Curtis Mayfield,139,97,54,-6,93
Tears In The Morning - Remastered 2009,The Beach Boys,128,36,38,-11,24
Up Around The Bend,Creedence Clearwater Revival,130,85,59,-6,81
Southern Man - 2009 Remaster,Neil Young,162,57,37,-9,66
Stairway to Heaven - Remaster,Led Zeppelin,82,34,34,-12,20
Imagine - Remastered,John Lennon,76,26,55,-12,17
Riders on the Storm,The Doors,104,72,55,-12,72
Echoes,Pink Floyd,134,32,28,-17,14
Vincent,Don McLean,92,9,42,-19,46
Me and Bobby McGee,Janis Joplin,93,46,45,-11,66
Baba O'Riley,The Who,117,72,49,-8,15
Life on Mars? - 2015 Remaster,David Bowie,123,38,44,-15,22
I Am...I Said - Single Version,Neil Diamond,91,38,25,-14,51
Ain't No Sunshine,Bill Withers,80,42,48,-11,51
Wild Horses,The Rolling Stones,140,39,43,-7,16
L.A. Woman,The Doors,171,73,35,-9,70
What's Going On,Marvin Gaye,203,82,27,-6,81
Halo of Flies,Alice Cooper,122,57,39,-13,40
American Pie,Don McLean,138,48,53,-12,49
Tiny Dancer,Elton John,145,43,41,-11,28
Morning Has Broken,Yusuf / Cat Stevens,133,32,42,-13,41
One Way Wind,The Cats,109,65,65,-10,72
One of These Days,Pink Floyd,104,51,38,-15,40
Nothing Rhymed,Gilbert O'Sullivan,175,59,23,-9,55
Brown Sugar - Remastered,The Rolling Stones,129,93,63,-4,96
You've Got a Friend,Carole King,169,26,47,-11,46
Locomotive Breath,Jethro Tull,125,53,68,-13,35
She Flies On Strange Wings,Golden Earring,131,70,32,-8,25
Changes - 2015 Remaster,David Bowie,115,31,55,-12,41
Mercedes Benz,Janis Joplin,87,11,70,-15,52
Honky Tonk Women - Mono Version,The Rolling Stones,120,78,56,-7,97
Cry Baby,Janis Joplin,83,42,47,-10,50
Storm And Thunder,Earth & Fire,133,33,27,-11,6
Roundabout - 2003 Remaster,Yes,133,76,41,-9,39
Maggie May,Rod Stewart,129,57,61,-11,54
Won't Get Fooled Again - Original Album Version,The Who,135,92,69,-6,23
After Midnight,J.J. Cale,96,31,69,-19,52
Give Up Your Guns,The Buoys,131,50,42,-13,66
Love Her Madly,The Doors,147,59,56,-7,97
Rock and Roll - Remaster,Led Zeppelin,170,89,32,-7,87
Black Dog - Remaster,Led Zeppelin,81,86,44,-8,75
Call Me The Breeze,J.J. Cale,92,42,81,-15,84
Famous Blue Raincoat,Leonard Cohen,119,4,47,-22,18
Yours Is No Disgrace - 2003 Remaster,Yes,141,63,41,-10,80
See Emily Play,Pink Floyd,124,71,46,-9,41
Smoke on the Water,Deep Purple,114,59,63,-11,89
Perfect Day,Lou Reed,145,27,40,-12,9
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,137,53,60,-9,34
Heart of Gold - 2009 Remaster,Neil Young,171,46,54,-10,80
Starman - 2012 Remaster,David Bowie,100,45,49,-10,55
Take It Easy - 2013 Remaster,Eagles,139,67,57,-10,74
A Horse with No Name,America,123,51,65,-17,83
Time In A Bottle,Jim Croce,134,26,54,-12,64
Lola - Live,The Kinks,134,51,45,-16,56
Easy Livin',Uriah Heep,161,84,26,-7,46
Ben - Single Version,Michael Jackson,136,16,44,-11,29
Walk On the Wild Side,Lou Reed,105,32,57,-17,39
She's A Rainbow - Full Version / With Intro,The Rolling Stones,109,78,45,-9,51
You're so Vain,Carly Simon,106,68,66,-8,65
Ziggy Stardust - 2012 Remaster,David Bowie,161,56,44,-12,50
Whiskey In The Jar,Thin Lizzy,128,69,56,-11,75
Listen to the Music,The Doobie Brothers,106,60,65,-13,91
Top Of The World,Carpenters,184,34,38,-13,69
School's Out,Alice Cooper,134,75,29,-9,35
A Thing Called Love,Johnny Cash,156,50,53,-11,79
Harvest - 2009 Remaster,Neil Young,86,22,54,-18,31
Sylvia's Mother,Dr. Hook,167,47,30,-13,58
"Close to the Edge (i. The Solid Time of Change, ii. Total Mass Retain, iii. I Get up I Get Down, iv. Seasons of Man) - 2003 Remaster",Yes,81,60,22,-11,25
Ventura Highway,America,131,58,67,-10,82
Witchy Woman - Eagles 2013 Remaster,Eagles,99,57,56,-12,58
Song Sung Blue - Single Version,Neil Diamond,109,33,56,-16,33
Sylvia,Focus,109,78,44,-5,61
Peaceful Easy Feeling - Eagles 2013 Remaster,Eagles,143,63,57,-12,87
Do It Again,Steely Dan,125,54,68,-10,96
Radar Love,Golden Earring,102,72,50,-9,18
Angie,The Rolling Stones,136,55,43,-6,41
Desperado - 2013 Remaster,Eagles,60,22,23,-13,18
Dream On,Aerosmith,161,43,31,-10,22
Time,Pink Floyd,120,48,36,-12,36
Free Bird,Lynyrd Skynyrd,117,85,28,-8,44
Money,Pink Floyd,124,54,47,-10,78
Always On My Mind,Elvis Presley,181,39,36,-14,50
The Great Gig in the Sky,Pink Floyd,116,22,28,-14,18
La Grange - 2005 Remaster,ZZ Top,81,64,55,-10,61
"Leaving, On a Jet Plane - ""Greatest Hits"" Version",John Denver,121,19,41,-13,63
Us and Them,Pink Floyd,73,30,36,-15,13
Firth of Fifth - New Stereo Mix,Genesis,85,60,27,-10,29
Band On The Run - Remastered 2010,Paul McCartney,125,60,48,-9,67
Sebastian - 2012 Remaster,Steve Harley & Cockney Rebel,140,24,25,-14,21
Tequila Sunrise - 2013 Remaster,Eagles,111,40,63,-13,73
Knockin' On Heaven's Door - Remastered,Bob Dylan,140,40,51,-13,23
Burning Love,Elvis Presley,144,75,66,-11,97
Goodbye Yellow Brick Road - Remastered 2014,Elton John,121,47,56,-8,40
Midnight Train to Georgia,Gladys Knight & The Pips,92,38,59,-12,45
Daniel,Elton John,132,48,69,-12,90
The Joker,Steve Miller Band,83,45,60,-10,80
Long Train Runnin',The Doobie Brothers,117,91,57,-7,84
I'll Have To Say I Love You In A Song,Jim Croce,134,51,51,-14,70
The Jean Genie - 2013 Remaster,David Bowie,128,57,58,-9,82
Merry Xmas Everybody,Slade,130,80,41,-3,47
Woman from Tokyo,Deep Purple,127,54,58,-13,42
Don't Let Me Down - Remastered 2009,The Beatles,77,29,59,-11,73
Let's Get It On,Marvin Gaye,168,60,54,-11,64
School,Supertramp,90,47,37,-15,5
Jolene,Dolly Parton,111,54,67,-11,81
Killer Queen - 2011 Mix,Queen,117,65,54,-6,61
Sweet Home Alabama,Lynyrd Skynyrd,98,61,60,-12,89
Waterloo,ABBA,148,93,44,-5,78
Annie's Song,John Denver,146,31,30,-11,46
Dreamer,Supertramp,148,41,66,-14,83
You Are So Beautiful,Joe Cocker,83,18,30,-11,9
My Boy,Elvis Presley,92,53,39,-12,37
Rebel Rebel - 2016 Remaster,David Bowie,126,69,64,-16,46
Crime Of The Century,Supertramp,123,42,40,-14,23
Autobahn - 2009 Remaster,Kraftwerk,82,50,33,-16,11
I Will Always Love You,Dolly Parton,136,14,45,-13,16
Thank God I'm a Country Boy,John Denver,106,54,76,-10,96
The Air That I Breathe - 2008 Remaster,The Hollies,168,47,28,-8,25
Love Is All,Roger Glover,112,81,60,-5,77
Hide In Your Shell,Supertramp,112,36,48,-13,32
Gute Nacht Freunde,Reinhard Mey,100,25,55,-18,29
Fox On The Run,Sweet,128,64,51,-12,83
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,118,44,48,-15,76
Mandy,Barry Manilow,104,46,31,-9,32
Can't Get It out of My Head,Electric Light Orchestra,169,38,23,-14,33
The Way We Were,Barbra Streisand,138,32,26,-12,17
Bohemian Rhapsody - 2011 Mix,Queen,144,40,39,-10,23
