title,artist,tempo,energy,danceability,loudness,valence
Best Song Ever,One Direction,118,88,65,-3,49
Kiss You,One Direction,90,93,63,-3,91
Sweet Nothing (feat. Florence Welch),Calvin Harris,128,93,57,-4,58
Lose Yourself to Dance,Daft Punk,100,66,83,-8,67
Work Bitch,Britney Spears,128,82,63,-7,85
Brave,Sara Bareilles,185,84,55,-4,76
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,146,93,63,-4,88
Feel This Moment (feat. Christina Aguilera),Pitbull,136,76,67,-4,54
Beneath Your Beautiful,Labrinth,84,52,56,-6,23
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,125,68,66,-7,25
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,95,53,78,-7,66
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,126,75,52,-6,16
The Way,Ariana Grande,82,88,65,-3,86
Suit & Tie,Justin Timberlake,102,60,80,-4,36
#thatPOWER,will.i.am,128,61,80,-6,40
I Love It (feat. Charli XCX),Icona Pop,126,91,71,-3,82
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,130,87,72,-3,68
Daylight,Maroon 5,120,67,66,-5,37
Love Somebody,Maroon 5,120,78,68,-6,40
A Little Party Never Killed Nobody (All We Got),Fergie,130,62,76,-6,52
Move,Little Mix,121,74,85,-5,77
Walks Like Rihanna,The Wanted,126,82,56,-3,43
Rock N Roll,Avril Lavigne,184,96,47,-3,67
Heartbreaker,Justin Bieber,105,52,56,-7,58
Mirrors - Radio Edit,Justin Timberlake,77,60,58,-6,65
Next To Me,Emeli Sandé,95,80,67,-5,35
Made In The USA,Demi Lovato,87,86,58,-4,59
Clown,Emeli Sandé,130,23,45,-8,23
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,93,81,55,-6,34
TKO,Justin Timberlake,138,68,61,-7,49
Come & Get It,Selena Gomez,80,79,55,-4,58
Live It Up,Jennifer Lopez,128,73,69,-5,65
We Own The Night,The Wanted,104,94,55,-4,56
Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,136,45,28,-8,11
What About Love,Austin Mahone,100,78,63,-7,28
Take Back the Night,Justin Timberlake,107,66,59,-5,33
Applause,Lady Gaga,140,78,67,-4,73
Anything Could Happen,Ellie Goulding,103,78,70,-4,38
Finally Found You,Enrique Iglesias,128,88,62,-5,66
Pom Poms,Jonas Brothers,148,98,68,-2,90
#Beautiful,Mariah Carey,107,76,68,-5,45
How Ya Doin'? (feat. Missy Elliott),Little Mix,201,95,36,-3,51
Crazy Kids (feat. will.i.am),Kesha,128,75,72,-4,50
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,128,57,69,-5,73
People Like Us,Kelly Clarkson,128,79,60,-5,61
Overdose,Ciara,107,70,77,-6,79
Right Now - Dyro Radio Edit,Rihanna,130,74,53,-6,45
Give It 2 U,Robin Thicke,127,83,67,-4,58
Foolish Games,Jewel,132,34,51,-11,7
Outta Nowhere (feat. Danny Mercer),Pitbull,95,84,71,-4,66
Freak,Kelly Rowland,104,78,65,-5,45
All of Me,John Legend,120,26,42,-7,33
Stay With Me,Sam Smith,84,42,42,-6,18
Summer,Calvin Harris,128,86,60,-4,74
"Happy - From ""Despicable Me 2""",Pharrell Williams,160,82,65,-5,96
Rude,MAGIC!,144,76,77,-5,93
Shake It Off,Taylor Swift,160,80,65,-5,94
Dark Horse,Katy Perry,132,59,65,-6,35
Hey Brother,Avicii,125,78,55,-5,46
Maps,Maroon 5,120,71,74,-6,88
Treasure,Bruno Mars,116,69,87,-5,94
Let Her Go,Passenger,75,54,51,-7,24
Problem,Ariana Grande,103,81,66,-5,63
Pompeii,Bastille,127,72,68,-6,57
Team,Lorde,100,58,69,-7,42
Love Me Again,John Newman,126,89,50,-5,21
Latch,Disclosure,122,73,50,-5,52
